kq,sl,Fuzzy Controller
1008.321769,1324,0.761572333
997.9589905,1153,0.865532516
886.9770874,1249,0.71014979
1047.606264,1248,0.839428096
1026.108894,1260,0.814372138
977.9452137,1389,0.704064229
994.6650079,1212,0.8206807
912.0230904,1200,0.760019242
950.4910326,1183,0.803458185
964.3094092,1202,0.802254084
1001.118969,1159,0.86377823
993.7163251,1294,0.767941519
767.7200623,1316,0.583373907
853.8067091,1111,0.768502888
893.7782014,1192,0.749813927
967.9556521,1128,0.858116713
997.167439,1323,0.753716885
943.2637789,1280,0.736924827
969.3970515,1254,0.773043901
970.6276542,1282,0.757119855
1023.417663,1228,0.833402006
922.3395785,1249,0.738462433
977.5484559,1112,0.879090338
941.7720664,1293,0.728362
840.6335498,1396,0.60217303
691.4898224,1379,0.501442946
640.7657893,1322,0.484694243
887.806398,1300,0.682927998
891.5430547,1297,0.687388631
962.4124283,1330,0.723618367
946.0752895,1263,0.749069905
887.9032845,1318,0.673674723
969.1270594,1115,0.869172251
820.4572186,1298,0.632093389
969.2070482,1203,0.805658394
962.8148032,1117,0.861964909
900.5885574,1371,0.656884433
925.4562947,1199,0.771856793
921.4566096,1373,0.671126445
995.3569891,1134,0.877739849
947.5741591,1369,0.6921652
854.9087001,1278,0.668942645
954.6991959,1298,0.735515559
830.0314007,1274,0.651516013
829.4418662,1351,0.613946607
997.5400706,1179,0.846089967
1022.432517,1298,0.787698395
900.1003693,1387,0.648954845
956.8575414,1189,0.804758235
1035.312149,1334,0.776096064
950.4510319,1373,0.692244014
949.3931717,1330,0.713829452
964.0241017,1333,0.723198876
952.3691495,1141,0.83467936
882.1378599,1252,0.704582955
930.2816341,1310,0.710138652
960.8080264,1246,0.771113986
967.9616739,1114,0.86890635
916.8058645,1308,0.700921915
972.8666174,1207,0.806020396
967.1961892,1192,0.811406199
958.4869306,1104,0.868194684
944.6374438,1208,0.781984639
1007.626745,1179,0.854645246
963.8642566,1332,0.723621814
978.2811302,1109,0.882129062
945.1858338,1107,0.853826408
1014.198194,1181,0.85876223
901.5571436,1130,0.79783818
975.8905553,1145,0.852306162
815.7182105,1350,0.604235711
891.8688411,1243,0.717513146
863.3083032,1248,0.691753448
905.2648542,1207,0.750012307
936.6298415,1269,0.738084981
998.9153044,1209,0.826232675
969.6112621,1135,0.85428305
1011.864891,1269,0.797371861
880.0769099,1329,0.662209865
858.4290374,1360,0.631197822
949.5898043,1225,0.77517535
923.2455437,1230,0.750606133
847.782715,1319,0.642746562
825.8785693,1116,0.74003456
645.8101801,1347,0.479443341
746.072559,1251,0.596380942
550.348933,1328,0.414419377
794.3952084,1239,0.64115836
910.4461332,1112,0.818746523
803.1594587,1329,0.604333678
1016.598476,1168,0.870375407
946.3763218,1320,0.716951759
961.2955499,1384,0.694577709
941.6426291,1310,0.718811167
1009.345855,1272,0.793510892
924.1823455,1278,0.723147375
860.3368443,1184,0.726635848
1002.965109,1237,0.810804453
1005.854769,1224,0.821776772
977.8505402,1118,0.874642701
912.2545181,1198,0.761481234
791.6569967,1264,0.626310915
878.4844476,1207,0.727824729
974.9578096,1107,0.880720695
970.3162188,1275,0.761032328
920.6189017,1142,0.806146149
919.3576169,1219,0.754190006
952.0923792,1133,0.840328667
974.3276311,1175,0.829215005
862.3270906,1327,0.64983202
955.3197773,1203,0.794114528
989.6634619,1172,0.844422749
939.0547984,1359,0.69098955
904.1587387,1360,0.664822602
957.717242,1177,0.813693494
977.01223,1209,0.808115988
945.1360211,1233,0.766533675
780.6232929,1174,0.664926144
668.3561814,1323,0.505182299
667.8495589,1314,0.508256894
639.3453974,1364,0.468728297
800.3046856,1160,0.689917832
726.9172336,1260,0.576918439
582.9710844,1222,0.477063081
687.6109739,1203,0.571580194
672.4596329,1376,0.488706129
740.872416,1371,0.540388341
739.9779732,1320,0.560589374
759.6903978,1231,0.617132736
